element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty
653,Femi Seriki,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,7,True,2
621,Jack Hinshelwood,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,4,True,2
397,Jadon Sancho,MID,1,1,70,22,0.0,0.05,1.08,0,0,0,0,2.3,10,True,2
487,Rhys Norrington-Davies,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,7,True,2
105,Vitaly Janelt,MID,1,2,55,90,0.02,0.01,1.26,0,0,2,0,4.3,8,True,3
607,Ionuț Radu,GK,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,3,True,2
655,Andre Brooks,MID,1,1,45,3,0.0,0.01,0.0,0,0,0,0,0.0,7,True,2
354,Jack Grealish,MID,1,0,75,0,0.0,0.0,0.0,0,0,0,0,0.0,1,False,2
417,Emil Krafth,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,6,True,3
574,Boubacar Traoré,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,10,False,4
169,Denis Franchi,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,1,True,5
335,James Shea,GK,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,4,False,3
300,Curtis Jones,MID,1,1,50,24,0.0,0.01,0.24,0,0,0,0,0.6,9,False,3
206,Reece James,DEF,1,2,55,75,0.03,0.42,1.23,0,0,1,0,5.0,9,True,4
491,Brandon Austin,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,8,False,2
53,Robin Olsen,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,6,False,4
489,Ben Osborn,MID,1,2,50,86,0.12,0.01,2.01,0,0,1,0,0.0,7,True,2
371,Amad Diallo,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,10,True,2
378,Anthony Elanga,MID,1,4,50,10,0.0,0.61,0.4,0,1,0,0,4.2,2,False,5
488,Oliver Norwood,MID,1,2,50,90,0.04,0.09,2.01,0,0,1,0,0.0,7,True,2
465,Harry Toffolo,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,2,False,5
344,Bernardo Veiga de Carvalho e Silva,MID,1,3,65,90,0.0,0.03,0.3,0,0,0,1,1.1,1,False,2
178,Charlie Taylor,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,1,True,5
