element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,ict_index,fixture,was_home,fixture_difficulty
77,Alex Scott,MID,1,2,50,62,0.0,0.01,1.02,0,0,1,3.6,6,False,2
427,Carlos Miguel dos Santos Pereira,GK,1,0,45,0,0.0,0.0,0.0,0,0,0,0.0,6,True,2
22,Tomiyasu Takehiro,DEF,1,0,50,0,0.0,0.0,0.0,0,0,0,0.0,2,True,2
197,Malcolm Ebiowei,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0.0,8,False,3
584,Ben Brereton Díaz,MID,1,1,55,70,0.3,0.02,0.25,0,0,1,3.3,5,False,4
52,Pau Torres,DEF,1,2,45,90,0.0,0.01,2.46,0,0,1,3.1,7,False,2
215,Joel Ward,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0.0,8,False,3
609,Will Lankshear,FWD,1,0,45,0,0.0,0.0,0.0,0,0,0,0.0,10,False,2
550,Hwang Hee-chan,MID,1,2,65,90,0.0,0.11,1.24,0,0,2,2.6,2,False,5
610,Mikey Moore,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0.0,10,False,2
109,Hákon Valdimarsson,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0.0,8,True,2
75,Alex Paulsen,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0.0,6,False,2
553,João Victor Gomes da Silva,MID,1,1,50,83,0.0,0.02,1.24,0,0,2,1.2,2,False,5
182,Cole Palmer,MID,1,2,105,90,0.07,0.19,0.77,0,0,2,6.8,9,True,5
136,Mitoma Kaoru,MID,1,8,65,88,0.97,0.04,0.45,1,0,0,13.2,3,False,2
285,Boubakary Soumaré,MID,1,1,45,11,0.0,0.0,0.25,0,0,0,0.1,10,True,4
447,Chris Wood,FWD,1,9,60,71,0.71,0.02,0.63,1,0,0,5.9,6,True,2
448,Joe Worrall,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0.0,6,True,2
214,Jeffrey Schlupp,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0.0,8,False,3
70,Milos Kerkez,DEF,1,1,45,90,0.0,0.01,1.3,0,0,1,2.7,6,False,2
133,Adrian Mazilu,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0.0,3,False,2
142,Jason Steele,GK,1,7,45,90,0.0,0.0,0.45,0,0,0,1.9,3,False,2
568,Arijanet Muric,GK,1,0,45,0,0.0,0.0,0.0,0,0,0,0.0,4,True,5
615,Carl Rushworth,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0.0,3,False,2
442,Ibrahim Sangaré,MID,1,2,45,90,0.0,0.01,1.22,0,0,1,2.1,6,True,2
373,Hannibal Mejbri,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0.0,1,True,2
479,Brandon Austin,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0.0,10,False,2
288,Conor Coady,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0.0,10,True,4
522,Wes Foderingham,GK,1,0,45,0,0.0,0.0,0.0,0,0,0,0.0,7,True,3
156,Armando Broja,FWD,1,0,55,0,0.0,0.0,0.0,0,0,0,0.0,9,True,5
147,Adam Webster,DEF,1,1,45,14,0.0,0.02,0.0,0,0,0,0.8,3,False,2
20,Thomas Partey,MID,1,3,50,90,0.06,0.06,0.47,0,0,0,5.9,2,True,2
