first_name,second_name,element_type,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,influence,creativity,threat,now_cost,ict_index,id,value,full_name
Fábio,Ferreira Vieira,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,54,0.0,1,0.0,Fábio Ferreira Vieira
Gabriel,Fernando de Jesus,FWD,3,78,0,0,0,2,2,0,0,14.0,32.3,33.0,68,7.9,2,0.4411764705882352,Gabriel Fernando de Jesus
Gabriel,dos Santos Magalhães,DEF,39,630,2,0,3,6,1,0,4,194.8,36.6,165.0,62,39.6,3,6.290322580645161,Gabriel dos Santos Magalhães
Kai,Havertz,FWD,40,630,4,1,3,6,0,0,7,209.2,83.8,326.0,83,61.9,4,4.8192771084337345,Kai Havertz
Karl,Hein,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,5,0.0,Karl Hein
Jurriën,Timber,DEF,19,448,0,1,2,4,2,0,0,87.2,100.0,32.0,55,21.8,6,3.4545454545454546,Jurriën Timber
Jorge Luiz,Frello Filho,MID,4,150,0,0,1,1,1,0,0,4.4,21.3,1.0,49,2.7,7,0.8163265306122448,Jorge Luiz Frello Filho
Jakub,Kiwior,DEF,2,17,0,0,0,1,0,0,0,7.6,0.3,0.0,48,0.8,8,0.41666666666666663,Jakub Kiwior
Gabriel,Martinelli Silva,MID,34,438,2,2,3,3,0,0,3,155.8,146.6,167.0,70,46.8,9,4.857142857142857,Gabriel Martinelli Silva
Ethan,Nwaneri,MID,2,9,0,0,0,0,0,0,0,14.4,11.4,15.0,45,4.1,12,0.4444444444444444,Ethan Nwaneri
Martin,Ødegaard,MID,7,253,0,0,2,1,1,0,0,34.4,75.0,60.0,82,17.0,13,0.8536585365853657,Martin Ødegaard
David,Raya Martin,GK,36,630,0,0,3,6,1,0,6,212.6,0.0,0.0,56,21.3,15,6.428571428571428,David Raya Martin
Declan,Rice,MID,8,492,0,0,2,6,2,1,0,72.8,111.9,67.0,63,24.6,16,1.2698412698412698,Declan Rice
Bukayo,Saka,MID,54,566,2,7,3,5,1,0,8,295.2,378.4,341.0,101,101.4,17,5.346534653465346,Bukayo Saka
William,Saliba,DEF,22,630,0,0,3,6,2,0,0,119.4,9.6,4.0,60,13.4,18,3.6666666666666665,William Saliba
Thomas,Partey,MID,23,617,1,0,3,6,2,0,3,141.2,93.4,28.0,50,26.4,20,4.6,Thomas Partey
Kieran,Tierney,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,44,0.0,21,0.0,Kieran Tierney
Tomiyasu,Takehiro,DEF,1,6,0,0,0,0,0,0,0,0.4,0.3,9.0,48,1.0,22,0.20833333333333331,Tomiyasu Takehiro
Leandro,Trossard,MID,23,344,2,1,1,5,0,1,3,111.8,111.7,125.0,69,34.6,23,3.333333333333333,Leandro Trossard
Benjamin,White,DEF,21,405,0,0,3,2,0,0,0,62.6,10.9,17.0,63,9.1,24,3.333333333333333,Benjamin White
Oleksandr,Zinchenko,DEF,7,78,0,0,1,0,0,0,0,7.2,4.9,6.0,48,1.8,25,1.458333333333333,Oleksandr Zinchenko
Norberto,Murara Neto,GK,7,180,0,0,0,2,0,0,0,77.8,0.0,0.0,43,7.8,73,1.627906976744186,Norberto Murara Neto
Raheem,Sterling,MID,3,85,0,0,0,1,0,0,0,4.8,15.1,35.0,67,5.5,186,0.44776119402985076,Raheem Sterling
Riccardo,Calafiori,DEF,13,294,1,0,0,4,1,0,1,92.6,35.6,100.0,58,22.8,578,2.2413793103448274,Riccardo Calafiori
Myles,Lewis-Skelly,MID,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,45,0.0,597,0.0,Myles Lewis-Skelly
Mikel,Merino,MID,1,29,0,0,0,0,0,0,0,19.6,11.9,2.0,60,3.4,633,0.16666666666666666,Mikel Merino
Salah-Eddine,Oulad M'hand,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,638,0.0,Salah-Eddine Oulad M'hand
Tommy,Setford,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,639,0.0,Tommy Setford
Maldini,Kacurri,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,657,0.0,Maldini Kacurri
Ayden,Heaven,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,658,0.0,Ayden Heaven
Ismeal,Kabia,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,659,0.0,Ismeal Kabia
Josh,Nichols,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,662,0.0,Josh Nichols
Nathan,Butler-Oyedeji,FWD,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,665,0.0,Nathan Butler-Oyedeji
Leon,Bailey,MID,13,348,0,1,1,4,1,0,0,37.8,93.5,59.0,63,18.9,28,2.0634920634920633,Leon Bailey
Ross,Barkley,MID,9,211,0,1,1,2,2,0,0,45.8,53.7,21.0,52,12.0,29,1.7307692307692306,Ross Barkley
Enzo,Barrenechea,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,49,0.0,30,0.0,Enzo Barrenechea
Emiliano,Buendía Stati,MID,3,13,0,0,0,0,0,0,0,0.8,6.6,3.0,53,1.0,31,0.5660377358490565,Emiliano Buendía Stati
Matty,Cash,DEF,9,186,0,0,1,1,0,0,0,17.0,15.4,9.0,44,4.1,32,2.0454545454545454,Matty Cash
Leander,Dendoncker,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,33,0.0,Leander Dendoncker
Moussa,Diaby,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,65,0.0,34,0.0,Moussa Diaby
Diego Carlos,Santos Silva,DEF,9,258,0,0,1,3,0,0,0,44.0,4.4,0.0,45,4.9,35,2.0,Diego Carlos Santos Silva
Lucas,Digne,DEF,24,518,0,2,1,8,1,0,4,131.4,119.1,3.0,46,25.4,36,5.217391304347825,Lucas Digne
Lewis,Dobbin,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,50,0.0,37,0.0,Lewis Dobbin
Jhon,Durán,FWD,27,184,4,0,0,4,1,0,5,142.4,21.5,114.0,62,27.9,38,4.354838709677419,Jhon Durán
Joe,Gauci,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,39,0.0,Joe Gauci
Kortney,Hause,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,40,0.0,Kortney Hause
Samuel,Iling-Junior,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,54,0.0,41,0.0,Samuel Iling-Junior
Boubacar,Kamara,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,50,0.0,42,0.0,Boubacar Kamara
Kaine,Kesler-Hayden,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,43,0.0,Kaine Kesler-Hayden
Ezri,Konsa Ngoyo,DEF,17,551,1,0,0,9,0,0,1,117.0,38.0,46.0,45,20.1,44,3.7777777777777777,Ezri Konsa Ngoyo
Ian,Maatsen,DEF,7,118,0,0,0,1,0,0,0,27.0,79.1,14.0,48,12.0,45,1.458333333333333,Ian Maatsen
Filip,Marschall,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,46,0.0,Filip Marschall
Emiliano,Martínez Romero,GK,20,630,0,0,1,9,1,0,2,142.4,0.0,0.0,50,14.3,47,4.0,Emiliano Martínez Romero
John,McGinn,MID,9,349,0,0,1,5,1,0,0,12.2,39.9,36.0,53,8.8,48,1.6981132075471697,John McGinn
Tyrone,Mings,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,44,0.0,49,0.0,Tyrone Mings
Kosta,Nedeljković,DEF,3,93,0,0,0,2,0,0,0,22.2,6.3,0.0,40,2.9,50,0.75,Kosta Nedeljković
Robin,Olsen,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,51,0.0,Robin Olsen
Pau,Torres,DEF,14,630,0,0,1,9,1,0,0,95.4,38.3,2.0,45,13.6,52,3.111111111111111,Pau Torres
Jacob,Ramsey,MID,13,335,0,1,0,8,0,0,0,49.8,68.5,65.0,55,18.5,53,2.3636363636363638,Jacob Ramsey
